Source code,Target code,Goldstein
AFG,AFG,291.5
AFG,AGO,4.699999999999999
AFG,ARE,8.9
AFG,AUS,15.0
AFG,AUT,3.8
AFG,AZE,8.0
AFG,BEL,2.8
AFG,BGD,6.0
AFG,BGR,-20.0
AFG,BHR,5.6
AFG,BLR,-2.0
AFG,CAN,7.4
AFG,CHE,16.099999999999998
AFG,CHN,2.8000000000000007
AFG,CYP,3.5
AFG,CZE,1.9
AFG,DEU,30.7
AFG,DZA,-28.0
AFG,EGY,5.1
AFG,EUR,17.6
AFG,FRA,-30.0
AFG,GBR,14.3
AFG,IDN,5.699999999999999
AFG,IGOCASCIS,-1.0
AFG,IGOUNO,221.4
AFG,IGOUNOREFHCR,31.8
AFG,IND,37.5
AFG,INT,43.0
AFG,IRN,526.2
AFG,IRQ,0.4
AFG,ITA,7.199999999999999
AFG,JPN,-13.2
AFG,KAZ,21.0
AFG,KGZ,17.2
AFG,KHM,9.0
AFG,KOR,1.9
AFG,LBY,23.4
AFG,LKA,13.9
AFG,MAR,-0.4
AFG,MDV,5.199999999999999
AFG,MMR,1.0
AFG,MNG,3.4
AFG,MYS,43.2
AFG,NGO,7.0
AFG,NGOHLHIRC,17.0
AFG,NPL,-4.0
AFG,PAK,1223.1
AFG,PER,-5.0
AFG,PHL,0.0
AFG,POL,1.0
AFG,RUS,201.4
AFG,SAS,8.0
AFG,SAU,24.5
AFG,SDN,11.7
AFG,SVK,-0.4
AFG,THA,0.0
AFG,TJK,49.699999999999996
AFG,TKM,7.4
AFG,TUN,-7.2
AFG,TUR,-8.1
AFG,UIS,63.1
AFG,UKR,-2.0
AFG,URY,-7.0
AFG,USA,111.6
AFG,UZB,-21.2
AFG,VNM,2.9
AFG,ZAF,10.0
AFR,AFG,3.4
AFR,AGO,108.8
AFR,ALB,7.0
AFR,ARE,8.7
AFR,ARM,6.0
AFR,AUS,9.7
AFR,BDI,46.7
AFR,BEL,9.8
AFR,BEN,17.2
AFR,BHR,25.1
AFR,BRA,11.3
AFR,BWA,28.700000000000003
AFR,CAN,24.2
AFR,CHE,1.4000000000000004
AFR,CHL,1.9
AFR,CHN,104.69999999999999
AFR,CIV,48.9
AFR,CMR,2.0
AFR,COD,5.1
AFR,COG,12.3
AFR,CUB,16.0
AFR,CYP,-0.10000000000000009
AFR,CZE,48.0
AFR,DEU,4.6
AFR,DJI,48.8
AFR,DNK,36.0
AFR,DZA,-12.100000000000001
AFR,EGY,54.699999999999996
AFR,ERI,67.9
AFR,ESP,17.5
AFR,ETH,55.5
AFR,EUR,9.0
AFR,FJI,-0.4
AFR,FRA,95.6
AFR,GAB,28.5
AFR,GBR,89.5
AFR,GHA,-6.299999999999999
AFR,GIN,20.5
AFR,GMB,13.4
AFR,GNB,-3.0
AFR,GRC,5.0
AFR,HRV,12.2
AFR,HUN,17.9
AFR,IDN,9.600000000000001
AFR,IGO,22.9
AFR,IGOAFROAU,59.4
AFR,IGOUNO,228.3
AFR,IGOUNODEVWBK,3.0
AFR,IGOUNOKID,16.8
AFR,IGOUNOREFHCR,6.0
AFR,INT,-1.6
AFR,IRL,7.199999999999999
AFR,IRN,13.0
AFR,IRQ,-20.4
AFR,ISR,32.5
AFR,ITA,33.3
AFR,JAM,12.2
AFR,JOR,2.9
AFR,JPN,85.4
AFR,KEN,99.1
AFR,KHM,8.3
AFR,KOR,55.3
AFR,LBN,0.2999999999999998
AFR,LBR,17.5
AFR,LBY,41.0
AFR,MAR,4.199999999999999
AFR,MCO,-4.0
AFR,MDG,3.9000000000000004
AFR,MDV,5.8
AFR,MEX,12.0
AFR,MLI,0.8999999999999999
AFR,MOZ,155.8
AFR,MRT,-4.199999999999999
AFR,MWI,24.2
AFR,MYS,15.8
AFR,NAM,150.9
AFR,NER,-4.2
AFR,NGA,269.0
AFR,NGO,-4.4
AFR,NGOHLHIRC,-4.0
AFR,NLD,34.0
AFR,NOR,32.6
AFR,NZL,12.8
AFR,OMN,4.0
AFR,PAK,12.8
AFR,PGS,7.0
AFR,PHL,12.6
AFR,PNG,-0.4
AFR,POL,21.3
AFR,PRK,12.7
AFR,PRT,24.9
AFR,PSE,1.7999999999999998
AFR,ROU,2.8
AFR,RUS,194.7
AFR,RWA,48.3
AFR,SAU,3.8
AFR,SDN,35.8
AFR,SEN,74.8
AFR,SGP,56.3
AFR,SLB,-0.4
AFR,SLE,16.9
AFR,SOM,143.8
AFR,STP,20.6
AFR,SVK,12.3
AFR,SWE,17.9
AFR,SWZ,6.9
AFR,SYR,2.9
AFR,TCD,-7.8
AFR,TGO,-1.2999999999999994
AFR,THA,1.9
AFR,TUN,5.3
AFR,TUR,-3.5
AFR,TWN,34.1
AFR,TZA,208.1
AFR,UGA,90.0
AFR,UIS,6.4
AFR,USA,201.9
AFR,VAT,9.9
AFR,VUT,-0.4
AFR,YEM,16.8
AFR,ZAF,638.8
AFR,ZMB,86.2
AFR,ZWE,21.9
AGO,AFG,4.699999999999999
AGO,AFR,198.2
AGO,AGO,657.2
AGO,BRA,-2.700000000000001
AGO,BWA,16.4
AGO,CHE,8.0
AGO,CHN,8.399999999999999
AGO,CIV,3.8
AGO,COD,19.599999999999998
AGO,COG,-2.0
AGO,CUB,37.2
AGO,DEU,19.8
AGO,DZA,4.699999999999999
AGO,EGY,16.2
AGO,ESP,34.1
AGO,ETH,11.0
AGO,EUR,22.7
AGO,FRA,40.2
AGO,GAB,5.6
AGO,GBR,-56.4
AGO,GHA,5.2
AGO,GNB,16.9
AGO,IGO,3.0
AGO,IGOAFROAU,20.0
AGO,IGOBUSIMF,3.5
AGO,IGOEUREEC,2.8
AGO,IGOMEAARL,7.0
AGO,IGOUNO,117.3
AGO,IGOUNODEVWBK,3.5
AGO,IGOUNOREFHCR,32.0
AGO,ISR,64.7
AGO,ITA,22.4
AGO,JPN,20.8
AGO,KEN,-10.0
AGO,KHM,-5.0
AGO,LBY,4.699999999999999
AGO,MAC,10.8
AGO,MAR,-2.0
AGO,MOZ,27.9
AGO,NAM,64.5
AGO,NGA,1.9
AGO,NGOHLHIRC,7.0
AGO,NZL,-40.0
AGO,PRT,112.4
AGO,RUS,58.9
AGO,SDN,0.0
AGO,SLV,2.8
AGO,STP,43.699999999999996
AGO,THA,0.0
AGO,TZA,4.699999999999999
AGO,UGA,1.9
AGO,UIS,19.8
AGO,USA,113.89999999999999
AGO,VAT,2.8
AGO,ZAF,159.5
AGO,ZMB,77.6
AGO,ZWE,28.5
ALB,AFR,1.0
ALB,ALB,649.0
ALB,ARE,6.0
