Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
ABW,ABW,-28.0,-4.0,0.0,7
ABW,CRI,50.5,2.6578947368421053,0.33717089216940993,19
ABW,LBR,28.0,2.8,0.0,10
ABW,NLD,-20.0,-4.0,0.0,5
ABW,PER,47.599999999999994,2.8,0.0,17
ABW,USA,24.0,4.0,0.0,6
ABW,VEN,23.5,2.35,0.4743416490252569,10
AFG,AFG,6161.7,0.9372832369942197,4.895228349436342,6574
AFG,AFR,-807.0,-7.834951456310679,4.733375629565182,103
AFG,ARE,59.09999999999999,0.25695652173913036,5.174578382742831,230
AFG,AUS,57.5,0.7012195121951219,5.316791334947014,82
AFG,AUT,63.0,7.0,0.0,9
AFG,AZE,-49.800000000000004,-1.8444444444444446,6.613292752150099,27
AFG,BDI,72.0,2.057142857142857,4.14404503398521,35
AFG,BEL,17.099999999999998,1.8999999999999997,0.0,9
AFG,BGD,5.0,1.0,0.0,5
AFG,BGR,27.2,3.4,0.0,8
AFG,BLR,19.0,1.0,0.0,19
AFG,CAN,29.0,1.0,0.0,29
AFG,CHE,286.09999999999997,2.058273381294964,3.162641972079937,139
AFG,CHL,37.4,3.4,0.0,11
AFG,CHN,1108.3,2.271106557377049,3.4354005001491568,488
AFG,CIV,13.299999999999999,1.9,0.0,7
AFG,COD,5.699999999999999,1.8999999999999997,0.0,3
AFG,COL,-136.4,-4.011764705882353,7.362960731311679,34
AFG,CYP,194.1,2.588,2.848088975227215,75
AFG,CZE,79.39999999999999,2.089473684210526,0.37183945510104716,38
AFG,DEU,353.9,2.6214814814814815,0.7738626883856082,135
AFG,DNK,68.6,2.0176470588235293,1.0706753994800167,34
AFG,DZA,-53.6,-1.2465116279069768,4.46656088203853,43
AFG,EGY,282.0,1.5,3.185663070360857,188
AFG,ESP,61.199999999999996,3.4,0.5820855000871992,18
AFG,EUR,506.1,3.3966442953020137,1.9597095795379424,149
AFG,FRA,640.9,2.7272340425531914,2.787997552182015,235
AFG,FSM,6.0,1.0,0.0,6
AFG,GBR,2919.1,1.8463630613535735,3.9950247213001404,1581
AFG,GEO,0.0,0.0,0.0,5
AFG,GRC,63.9,2.778260869565217,1.9727591480275748,23
AFG,HUN,69.1,2.764,2.5617181734140857,25
AFG,IDN,55.0,1.8333333333333333,1.6078113916950485,30
AFG,IGOEUREEC,167.29999999999998,3.63695652173913,2.1168486741330246,46
AFG,IGOEURSCE,37.599999999999994,2.3499999999999996,0.8049844718999242,16
AFG,IGOMEAARL,-3.2,-0.4,0.0,8
AFG,IGOUNO,5753.4,2.124593796159527,3.8593608849180416,2708
AFG,IGOUNOHLHWHO,98.0,4.260869565217392,3.4930761554349172,23
AFG,IGOUNOKID,12.0,0.5217391304347826,0.5107539184552492,23
AFG,IGOUNOREFHCR,623.6,3.8975,3.2476009529628995,160
AFG,IGOUNOWFP,212.20000000000002,3.07536231884058,5.102145044779794,69
AFG,IGOWSTNAT,90.0,2.727272727272727,1.5056710977319898,33
AFG,IMGMOSALQ,2.4999999999999964,0.017857142857142832,4.202179425237702,140
AFG,IMGSEAMOSASF,16.799999999999997,2.7999999999999994,0.0,6
AFG,IND,399.3,2.101578947368421,3.265767228228679,190
AFG,INT,165.6,1.5054545454545454,3.5800629476203487,110
AFG,IRN,7663.4,1.5145059288537548,5.094882596743921,5060
AFG,IRQ,277.9,1.4940860215053762,3.988567103422764,186
AFG,ISR,-213.2,-2.6320987654320986,3.9693143979941254,81
AFG,ITA,469.09999999999997,2.522043010752688,3.4443527016371607,186
AFG,JOR,152.5,0.9077380952380952,4.794782556418015,168
AFG,JPN,851.2,4.1931034482758625,2.2580881522001888,203
AFG,KAZ,540.1999999999999,1.5174157303370785,4.102294796636683,356
AFG,KEN,104.8,3.742857142857143,2.6878917211751494,28
AFG,KGZ,-149.9,-0.7348039215686275,4.066784166746594,204
AFG,KHM,19.0,1.9,0.0,10
AFG,KWT,0.1999999999999993,0.01818181818181812,3.3219928301602883,11
AFG,LBN,61.4,1.203921568627451,1.7189486070634836,51
AFG,LBY,492.9,3.9432,2.6408801074519617,125
AFG,LKA,-80.0,-4.0,0.0,20
AFG,MAR,-60.0,-5.0,0.0,12
AFG,MCO,-14.0,-2.0,0.0,7
AFG,MDV,4.299999999999999,0.17199999999999996,4.611355549076649,25
AFG,MEX,13.6,3.4,0.0,4
AFG,MMR,154.3,3.9564102564102566,2.0136109057839446,39
AFG,MNC,45.0,3.0,0.0,15
AFG,MYS,17.5,2.5,0.0,7
AFG,NGO,80.0,3.4782608695652173,5.007898899079255,23
AFG,NGOHLHIRC,510.40000000000003,3.5943661971830987,4.666384611251612,142
AFG,NGOHRIAMN,-48.0,-2.0,0.0,24
AFG,NGOXFM,17.0,3.4,0.0,5
AFG,NLD,83.2,1.9348837209302325,1.745045192610349,43
AFG,NOR,72.6,1.4235294117647057,4.085809013416761,51
AFG,NPL,42.0,2.8,0.0,15
AFG,NZL,6.0,1.0,0.0,6
AFG,PAK,9605.1,1.1434642857142858,4.524275399194737,8400
AFG,PHL,46.8,2.2285714285714286,3.610698389112951,21
AFG,POL,91.0,3.64,2.6438608132804573,25
AFG,PSE,-192.7,-2.072043010752688,4.24131761703421,93
AFG,QAT,397.7,2.7618055555555556,3.1739983063385915,144
AFG,ROU,-30.0,-5.0,0.0,6
AFG,RUS,-2006.9,-0.5135363357215967,4.833030229032072,3908
AFG,SAS,-17.200000000000003,-0.3659574468085107,3.8699104919288727,47
AFG,SAU,1622.6,1.5527272727272727,5.32445783825302,1045
AFG,SDN,-694.0,-7.3052631578947365,5.246019127427039,95
AFG,SOM,9.0,1.0,4.5,9
AFG,SWE,27.2,3.4,0.0,8
AFG,SYR,-45.2,-1.2216216216216218,4.838223683172205,37
AFG,TJK,-3634.8,-1.5803478260869566,6.140675490998511,2300
AFG,TKM,2027.7,2.675065963060686,4.1755434939518405,758
AFG,TUN,540.3,1.0232954545454545,3.720521954850662,528
AFG,TUR,211.1,0.8410358565737052,4.375937536426814,251
