Source code,Target code,Goldstein_sum,Goldstein_mean,Goldstein_std,Goldstein_count
AFG,AFG,-15168.9,-6.543960310612597,3.2282852767958103,2318
AFG,BGR,-110.0,-10.0,0.0,11
AFG,BLR,-25.0,-5.0,0.0,5
AFG,CHE,-50.0,-10.0,0.0,5
AFG,CHN,-94.5,-7.269230769230769,1.2009611535381537,13
AFG,DEU,-133.0,-7.0,0.0,19
AFG,DZA,-146.0,-7.3,3.062506713204243,20
AFG,EGY,-40.0,-10.0,0.0,4
AFG,FRA,-160.0,-10.0,0.0,16
AFG,IGOCASCIS,-55.0,-5.0,0.0,11
AFG,IGOUNO,-181.7,-2.1376470588235295,2.9020508540795538,85
AFG,IGOUNOREFHCR,-2.1,-0.3,0.0,7
AFG,IRN,-2317.0,-6.62,3.1173146183533404,350
AFG,ITA,-60.0,-6.666666666666667,3.1622776601683795,9
AFG,JPN,-210.0,-10.0,0.0,21
AFG,MAR,-2.8000000000000003,-0.4,0.0,7
AFG,MDV,-88.0,-4.0,0.0,22
AFG,MYS,-4.4,-0.4,0.0,11
AFG,NGOHLHIRC,-415.0,-9.880952380952381,0.21554026870452161,42
AFG,NPL,-88.0,-4.0,0.0,22
AFG,PAK,-3640.5,-4.77129750982962,3.5335774841608596,763
AFG,PER,-15.0,-5.0,0.0,3
AFG,RUS,-1811.6,-6.563768115942029,3.190552919399519,276
AFG,SAU,-67.5,-7.5,0.0,9
AFG,SVK,-1.2000000000000002,-0.4000000000000001,0.0,3
AFG,TJK,-1476.9,-6.311538461538462,3.194549305060552,234
AFG,TKM,-15.0,-5.0,0.0,3
AFG,TUN,-130.0,-10.0,0.0,13
AFG,TUR,-40.0,-10.0,0.0,4
AFG,UIS,-15.0,-5.0,0.0,3
AFG,UKR,-25.0,-5.0,0.0,5
AFG,URY,-21.0,-7.0,0.0,3
AFG,USA,-385.2,-4.8149999999999995,2.5567532813652845,80
AFG,UZB,-1674.2,-5.5621262458471765,2.4708623590443475,301
AFR,AGO,-1454.4,-4.085393258426967,2.879663539101971,356
AFR,AUS,-12.4,-0.8266666666666667,0.7323803331473014,15
AFR,BDI,-93.5,-3.5961538461538463,1.9545804192676794,26
AFR,BRA,-16.0,-4.0,0.0,4
AFR,BWA,-169.7,-2.8762711864406776,1.996146199387179,59
AFR,CAF,-150.0,-5.0,0.0,30
AFR,CHE,-70.0,-6.363636363636363,4.177863742936748,11
AFR,CHN,-6.0,-2.0,0.0,3
AFR,CIV,-244.0,-4.60377358490566,1.025438417336879,53
AFR,CMR,-170.0,-10.0,0.0,17
AFR,COD,-183.6,-3.6719999999999997,1.9994938134948257,50
AFR,COG,-50.0,-5.0,0.0,10
AFR,COM,-45.5,-6.5,0.0,7
AFR,CYP,-20.0,-2.0,0.0,10
AFR,CZE,-33.0,-4.714285714285714,0.48795003647426655,7
AFR,DEU,-119.0,-5.95,2.7429335045761345,20
AFR,DJI,-6.0,-2.0,0.0,3
AFR,DNK,-24.0,-2.0,0.0,12
AFR,DZA,-613.4,-4.718461538461538,3.2697766705470013,130
AFR,EGY,-91.0,-4.55,0.510417785534041,20
AFR,ERI,-20.0,-2.0,0.0,10
